,152115001 ADVANCED PROGRAMMING,152115021 BÜYÜK VERİ İŞLENMESİ,152117003 DATA SECURITY,152117005 IMAGE PROCESSING,152117007 DATABASE PROGRAMMING,152117008 DISTRIBUTED SYSTEMS,152117106 INTRODUCTION TO AUTONOMOUS MOBILE ROBOTS,152117107 INTRODUCTION TO ARTIFICIAL INTELLIGENCE,152117111 MOBİL PROGRAMLAMA,152117116 INTRODUCTION TO SECURE CODING,152117117 INTRODUCTION TO RECOMMENDER SYSTEM,152117118 BÜYÜK VERİ İŞLENMESİ,152117119 DERİN ÖĞRENMEYE GİRİŞ,152117121 INTRODUCTION TO WIRELESS SENSOR NETWORKS,152117115 ADVANCED PROGRAMMING,152117120 PROBLEMS IN DATA STRUCTURES AND ALGORITHMS,152118004 SYSTEMS ANALYSIS,152118016 NETWORK APPLICATIONS,152118026 INTRODUCTION TO VHDL,152118028 INTRODUCTION TO VHDL,152118030 WEB BASED TECHNOLOGIES,152118033 PATTERN RECOGNITION,152118034 INTRO. TO DATA MINING,152118035 NETWORK APPLICATIONS UE,152118514 AĞ GÜVENLİĞİ,152118616 OTONOM ROBOTİK SENTEZ VE TASARIMI,152118633 MAKİNE ÖĞRENMESİ,152118001 PARALLEL PROGRAMMING,152118003 NEURAL NETWORKS,152118018 REAL TIME DSP SYSTEM DESIGN,152118023 KURUMSAL JAVA,152118024 HESAPLAMA GEOMETRİSİ,152118036 COMPUTER SECURITY,152118513 SİSTEM PROGRAMLAMA,152118632 BULANIK MANTIK,152118634 COMPUTER SECURITY,152118635 WEB BASED TECHNOLOGIES
152111001 CALCULUS I,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111002 INTRODUCTION TO COMPUTERS,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111005 PHYSICS I,0.0451312910284464,0.0,0.0451312910284464,0.0,0.0902625820568928,0.06017505470459519,-1.0,0.0,0.06017505470459519,0.1805251641137856,0.0,0.030087527352297597,0.04923413566739607,0.1353938730853392,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1805251641137856,0.0451312910284464,0.0,0.01805251641137856,0.06017505470459519,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111006 PHYSICS I LAB,0.0,0.0,0.05597014925373134,0.10261194029850745,0.10261194029850745,0.0,-1.0,0.0,0.10261194029850745,-1.0,-1.0,0.10261194029850745,0.0,0.12313432835820895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2052238805970149,0.0,0.0,0.0,0.2052238805970149,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111007 CHEMISTRY,0.13043478260869565,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.34782608695652173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.5217391304347826,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
152111008 CHEMISTRY LAB.,0.2222222222222222,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.4444444444444444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.3333333333333333,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111010 INTRODUCTION TO PROGRAMMING,0.058823529411764705,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.47058823529411764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.47058823529411764,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111011 INTRODUCTION TO PROGRAMMING LAB.,0.07751937984496125,0.07751937984496125,0.03875968992248063,0.11627906976744189,0.23255813953488377,0.0,-1.0,0.0,0.03875968992248063,-1.0,0.0,0.0,0.0,0.1550387596899225,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.05813953488372094,0.031007751937984503,0.11627906976744189,-1.0,0.05813953488372094,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0
152111012 INTRODUCTION TO COMPUTER ENGINEERING,0.0,0.06471494607087827,0.03882896764252696,0.018489984591679505,0.0,0.0,-1.0,0.06471494607087827,0.0,0.12942989214175654,0.06471494607087827,0.0,0.04314329738058551,0.06471494607087827,-1.0,0.12942989214175654,0.0,0.032357473035439135,-1.0,-1.0,0.0,0.025885978428351306,-1.0,0.0,0.06471494607087827,-1.0,0.0,-1.0,0.12942989214175654,-1.0,-1.0,-1.0,0.0,0.12942989214175654,-1.0,-1.0,-1.0
152111013 ADVANCED READING AND WRITING,0.0,0.0,0.0700583819849875,0.0,0.1751459549624687,0.0,-1.0,0.1751459549624687,0.0,0.0,-1.0,-1.0,0.0,0.1751459549624687,-1.0,-1.0,0.08757297748123435,-1.0,-1.0,-1.0,-1.0,0.11676396997497913,0.0,0.0250208507089241,0.0,-1.0,0.0,0.1751459549624687,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
