1958583397: [['152118035 NETWORK APPLICATIONS UE', 0.005126568222901028], ['152117111 MOBİL PROGRAMLAMA', 0.0036825364623088237], ['152118514 AĞ GÜVENLİĞİ', 0.002500429324133786], ['152118513 SİSTEM PROGRAMLAMA', 0.0009211814463679947], ['152117115 ADVANCED PROGRAMMING', 0.0005645187080638678], ['152118634 COMPUTER SECURITY', 0.00046837398760806375], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3260847501: [['152117111 MOBİL PROGRAMLAMA', 0.00404049687666607], ['152118035 NETWORK APPLICATIONS UE', 0.0035265933938469027], ['152118514 AĞ GÜVENLİĞİ', 0.0023216222256522688], ['152118635 WEB BASED TECHNOLOGIES', 0.001056365217981804], ['152118513 SİSTEM PROGRAMLAMA', 0.0006846442485082411], ['152118634 COMPUTER SECURITY', 0.000663606857957039], ['152117115 ADVANCED PROGRAMMING', 0.00047328521644691155]]
1644926596: [['152117111 MOBİL PROGRAMLAMA', 0.005276342673594037], ['152118635 WEB BASED TECHNOLOGIES', 0.004516389422558568], ['152118035 NETWORK APPLICATIONS UE', 0.0034699961770231842], ['152118514 AĞ GÜVENLİĞİ', 0.002175315306467246], ['152118634 COMPUTER SECURITY', 0.0019643083348841683], ['152118513 SİSTEM PROGRAMLAMA', 0.0017657381188343573], ['152117115 ADVANCED PROGRAMMING', 0.0008879212359230524]]
1080755853: [['152118035 NETWORK APPLICATIONS UE', 0.004839859602730549], ['152117111 MOBİL PROGRAMLAMA', 0.003861215184645573], ['152118514 AĞ GÜVENLİĞİ', 0.0022989589976239425], ['152118513 SİSTEM PROGRAMLAMA', 0.0009403817040085157], ['152118635 WEB BASED TECHNOLOGIES', 0.0006683340128429846], ['152117115 ADVANCED PROGRAMMING', 0.0004249323088678602], ['152118634 COMPUTER SECURITY', 0.00031224932507204254]]
1489354015: [['152118035 NETWORK APPLICATIONS UE', 0.0046052083323542894], ['152117111 MOBİL PROGRAMLAMA', 0.003933523337901035], ['152118514 AĞ GÜVENLİĞİ', 0.0020085968545851753], ['152118634 COMPUTER SECURITY', 0.001438001025041487], ['152118635 WEB BASED TECHNOLOGIES', 0.0011390928451040785], ['152118513 SİSTEM PROGRAMLAMA', 0.0008541315306926771], ['152117115 ADVANCED PROGRAMMING', 0.00034273903723903786]]
1018607446: [['152118635 WEB BASED TECHNOLOGIES', 0.0040303972298203275], ['152117111 MOBİL PROGRAMLAMA', 0.003994184154815386], ['152118035 NETWORK APPLICATIONS UE', 0.002915062008169946], ['152118514 AĞ GÜVENLİĞİ', 0.0016397477381095474], ['152118634 COMPUTER SECURITY', 0.0013406310351895545], ['152118513 SİSTEM PROGRAMLAMA', 0.0012213598817183789], ['152117115 ADVANCED PROGRAMMING', 0.0005337004907591019]]
2746867626: [['152117111 MOBİL PROGRAMLAMA', 0.005002189766530792], ['152118035 NETWORK APPLICATIONS UE', 0.0038503545963323974], ['152118635 WEB BASED TECHNOLOGIES', 0.0031214600400723347], ['152118514 AĞ GÜVENLİĞİ', 0.002024602652512381], ['152118634 COMPUTER SECURITY', 0.0018985677787495224], ['152118513 SİSTEM PROGRAMLAMA', 0.0012759500293684897], ['152117115 ADVANCED PROGRAMMING', 0.0009950623503069457]]
123301703: [['152118035 NETWORK APPLICATIONS UE', 0.004498968879177875], ['152117111 MOBİL PROGRAMLAMA', 0.004175025822218734], ['152118514 AĞ GÜVENLİĞİ', 0.002370566855949763], ['152118634 COMPUTER SECURITY', 0.0015118942859820236], ['152118513 SİSTEM PROGRAMLAMA', 0.001159883326225718], ['152118635 WEB BASED TECHNOLOGIES', 0.000949244037586732], ['152117115 ADVANCED PROGRAMMING', 0.0005560047432327013]]
3965835222: [['152117111 MOBİL PROGRAMLAMA', 0.005113022351189506], ['152118635 WEB BASED TECHNOLOGIES', 0.00494057347100686], ['152118035 NETWORK APPLICATIONS UE', 0.0034957421712555298], ['152118634 COMPUTER SECURITY', 0.003467160768336293], ['152118513 SİSTEM PROGRAMLAMA', 0.002579926382062682], ['152118514 AĞ GÜVENLİĞİ', 0.0024786586132533378], ['152117115 ADVANCED PROGRAMMING', 0.0013591524226114775]]
62989449: [['152117111 MOBİL PROGRAMLAMA', 0.0035491802665288327], ['152118035 NETWORK APPLICATIONS UE', 0.0022801648861074087], ['152118514 AĞ GÜVENLİĞİ', 0.0018577652104388581], ['152118634 COMPUTER SECURITY', 0.0011685122712959625], ['152118635 WEB BASED TECHNOLOGIES', 0.0009114853193004026], ['152118513 SİSTEM PROGRAMLAMA', 0.000738607434799037], ['152117115 ADVANCED PROGRAMMING', 0.0001515068565697156]]
3628156599: [['152117111 MOBİL PROGRAMLAMA', 0.0036461643105080987], ['152118035 NETWORK APPLICATIONS UE', 0.0034606240417067655], ['152118514 AĞ GÜVENLİĞİ', 0.0028060758232918218], ['152118635 WEB BASED TECHNOLOGIES', 0.002255643827065358], ['152118513 SİSTEM PROGRAMLAMA', 0.002079696568665328], ['152118634 COMPUTER SECURITY', 0.0011996642914187485], ['152117115 ADVANCED PROGRAMMING', 0.0009482250958460963]]
