1958583397: [['152118035 NETWORK APPLICATIONS UE', 0.005685327044257872], ['152118514 AĞ GÜVENLİĞİ', 0.004020268381902429], ['152117111 MOBİL PROGRAMLAMA', 0.003403799735571146], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3260847501: [['152118035 NETWORK APPLICATIONS UE', 0.004863552828354565], ['152117111 MOBİL PROGRAMLAMA', 0.004222172623862164], ['152118514 AĞ GÜVENLİĞİ', 0.004157195680673627], ['152118635 WEB BASED TECHNOLOGIES', 0.0014843464466656187], ['152117115 ADVANCED PROGRAMMING', 0.00075839068909619], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152118634 COMPUTER SECURITY', 0.0]]
1644926596: [['152117111 MOBİL PROGRAMLAMA', 0.007560961864833473], ['152118635 WEB BASED TECHNOLOGIES', 0.007086435214190166], ['152118634 COMPUTER SECURITY', 0.005172357897452206], ['152118514 AĞ GÜVENLİĞİ', 0.0046426605625859855], ['152118035 NETWORK APPLICATIONS UE', 0.004503789713322449], ['152118513 SİSTEM PROGRAMLAMA', 0.0023647292482553463], ['152117115 ADVANCED PROGRAMMING', 0.0018473701623625172]]
1080755853: [['152118035 NETWORK APPLICATIONS UE', 0.0055626072155050225], ['152117111 MOBİL PROGRAMLAMA', 0.004333283158587469], ['152118514 AĞ GÜVENLİĞİ', 0.004061871151498369], ['152118635 WEB BASED TECHNOLOGIES', 0.0011084189025244817], ['152118513 SİSTEM PROGRAMLAMA', 0.000735376098698086], ['152117115 ADVANCED PROGRAMMING', 2.984171330234415e-06], ['152118634 COMPUTER SECURITY', 0.0]]
1489354015: [['152118035 NETWORK APPLICATIONS UE', 0.005980760954948921], ['152117111 MOBİL PROGRAMLAMA', 0.005392599498243109], ['152118514 AĞ GÜVENLİĞİ', 0.004077152679239087], ['152118634 COMPUTER SECURITY', 0.00337907171511369], ['152118635 WEB BASED TECHNOLOGIES', 0.0016462851432543502], ['152117115 ADVANCED PROGRAMMING', 0.00017540943369444102], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
1018607446: [['152118635 WEB BASED TECHNOLOGIES', 0.006285766774598955], ['152117111 MOBİL PROGRAMLAMA', 0.005772651675355983], ['152118035 NETWORK APPLICATIONS UE', 0.0037742902698979634], ['152118514 AĞ GÜVENLİĞİ', 0.0034902564289673046], ['152118634 COMPUTER SECURITY', 0.0030669251723248097], ['152118513 SİSTEM PROGRAMLAMA', 0.0016350790437795137], ['152117115 ADVANCED PROGRAMMING', 0.001080476124086299]]
2746867626: [['152117111 MOBİL PROGRAMLAMA', 0.006904736325361867], ['152118035 NETWORK APPLICATIONS UE', 0.004936037924459962], ['152118635 WEB BASED TECHNOLOGIES', 0.004471422282035618], ['152118514 AĞ GÜVENLİĞİ', 0.004167833776031249], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.0015428854327146414], ['152118513 SİSTEM PROGRAMLAMA', 0.0010672795923774348]]
123301703: [['152118035 NETWORK APPLICATIONS UE', 0.0057683827007909095], ['152118514 AĞ GÜVENLİĞİ', 0.004770834275212916], ['152117111 MOBİL PROGRAMLAMA', 0.004522375025708351], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152118635 WEB BASED TECHNOLOGIES', 0.0013719042860452918], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152117115 ADVANCED PROGRAMMING', 0.00014617452807870086]]
3965835222: [['152118634 COMPUTER SECURITY', 0.008850310642955649], ['152118635 WEB BASED TECHNOLOGIES', 0.007614690674191655], ['152117111 MOBİL PROGRAMLAMA', 0.0072000407759756], ['152118514 AĞ GÜVENLİĞİ', 0.005206657843847134], ['152118035 NETWORK APPLICATIONS UE', 0.0046460957262906884], ['152118513 SİSTEM PROGRAMLAMA', 0.00282819503971595], ['152117115 ADVANCED PROGRAMMING', 0.0021340936572173067]]
62989449: [['152117111 MOBİL PROGRAMLAMA', 0.0047738954784893], ['152118514 AĞ GÜVENLİĞİ', 0.003540083115055661], ['152118035 NETWORK APPLICATIONS UE', 0.0023936150949067625], ['152118634 COMPUTER SECURITY', 0.002008928680447804], ['152118635 WEB BASED TECHNOLOGIES', 0.0014662672050912444], ['152117115 ADVANCED PROGRAMMING', 0.0004570817140099699], ['152118513 SİSTEM PROGRAMLAMA', 0.00035519613690146966]]
3628156599: [['152118514 AĞ GÜVENLİĞİ', 0.005218438189389119], ['152117111 MOBİL PROGRAMLAMA', 0.005128300769091866], ['152118035 NETWORK APPLICATIONS UE', 0.004925882549652238], ['152118635 WEB BASED TECHNOLOGIES', 0.00362801176787239], ['152118513 SİSTEM PROGRAMLAMA', 0.002590568930821452], ['152118634 COMPUTER SECURITY', 0.0023881234486853335], ['152117115 ADVANCED PROGRAMMING', 0.001345993775243572]]
