,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
PC1,0.09615994963236674,0.1991781686165564,0.07934770247044517,0.13872554076145688,0.08014596698530078,0.0890735973909712,0.052839524879073084,0.0690138440370423,0.04399389771802673,0.06659965185833064,0.08492215565042997
PC2,0.090859143336294,0.19533182284402964,0.08146806525829543,0.14147916989324574,0.08261134343623627,0.09042591131391506,0.05496723818922518,0.0689478061929447,0.04493230519488022,0.06708726799153589,0.08188992634939783
PC3,0.09002606114931636,0.1930459751905063,0.08157757905519177,0.14358919240648294,0.08556867648028278,0.09009909204015457,0.054849524391687984,0.06886918803446647,0.04388174358581475,0.06467236938891104,0.08382059827718509
PC4,0.09069341834267604,0.19294361660874,0.08259754688851886,0.1437198787066919,0.08506372692984634,0.09015322333559682,0.05544218869910826,0.06858734075776121,0.0434436430441672,0.06475020757591773,0.08260520911097574
PC5,0.0894716875833377,0.1890559151469301,0.08308184889791208,0.14618206420913465,0.08754010171948798,0.08848993732014152,0.055555310717360515,0.06966270341947996,0.04148803927177303,0.06291844023819916,0.0865539514762433
PC6,0.08957127271484147,0.1926877121066074,0.08349078775678384,0.14429350083377437,0.08750011681297236,0.0903888615364185,0.05588087039573706,0.06801309366426823,0.04263775963665751,0.06265770259460773,0.08287832194733151
PC7,0.08742632611119257,0.1894153818689264,0.08358468138935056,0.14419812525750433,0.08779874400549678,0.09084193197382842,0.05777881636087132,0.0669793086856863,0.04399625080073164,0.06326187175233927,0.08471856179407257
PC8,0.0862452162467516,0.1870963161498813,0.08511803000666354,0.14430033280074206,0.08583129210177688,0.09120417547915112,0.05799698147399992,0.06743296167961157,0.04391967070791454,0.06570458017107762,0.08515044318243
PC9,0.08839594805358165,0.1875041707029886,0.08790336357992733,0.14560079169103146,0.08813708930094893,0.09031480826597042,0.058177165241678215,0.06752663074973436,0.042470809368063175,0.06081514680950439,0.08315407623657152
PC10,0.08648127539697793,0.19053328868478464,0.08920500659115932,0.14532818266505537,0.08309523539983679,0.08990922955013918,0.058027432169875,0.06887854230055337,0.04003432142507104,0.06352704630445874,0.08498043951208849
PC11,0.08998268444107838,0.18421511046696828,0.0798410805100622,0.1425155291671826,0.10985481962982699,0.08047219957330667,0.05688119373380636,0.07443265255779617,0.0312906242505262,0.05567374981434304,0.09484035585510321
