,ADVANCED PROGRAMMING,AĞ GÜVENLİĞİ,BULANIK MANTIK,BÜYÜK VERİ İŞLENMESİ,COMPUTER SECURITY,DATA SECURITY,DATABASE MANAGEMENT SYSTEMS,DERİN ÖĞRENMEYE GİRİŞ,DISTRIBUTED SYSTEMS,HESAPLAMA GEOMETRISI,HESAPLAMA GEOMETRİSİ,IMAGE PROCESSING,INTRO. TO DATA MINING,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,INTRODUCTION TO AUTONOMOUS MOBILE ROBOTS,INTRODUCTION TO DEEP LEARNING,INTRODUCTION TO RECOMMENDER SYSTEM,INTRODUCTION TO SECURE CODING,INTRODUCTION TO VHDL,INTRODUCTION TO WIRELESS SENSOR NETWORKS,KURUMSAL JAVA,MAKİNE ÖĞRENMESİ,MOBİL PROGRAMLAMA,NETWORK APPLICATIONS,NEURAL NETWORKS,OTONOM ROBOTİK SENTEZ VE TASARIMI,PARALLEL PROGRAMMING,PATTERN RECOGNITION,PROBLEMS IN DATA STRUCTURES AND ALGORITHMS,REAL TIME DSP SYSTEM DESIGN,SİSTEM PROGRAMLAMA,SYSTEMS ANALYSIS,WEB BASED TECHNOLOGIES
ADVANCED COMPUTER ARCHITECTURE,0.0,0.0,0.0,0.0,0.0,0.061040927343343244,0.03560720761695023,0.0,0.05341081142542534,0.0,0.06527988063107543,0.03560720761695023,0.0,0.032046486855255206,0.0,0.10682162285085069,0.0,0.10682162285085069,0.0,0.10682162285085069,0.03560720761695023,0.0,0.0,0.04959575346646639,0.0,0.10682162285085069,0.033114703083763714,0.023738138411300153,0.0,0.0,0.05341081142542534,0.0,0.09425437310369178
ADVANCED PROGRAMMING,0.0,0.015094258804739066,0.0,0.04402492151382228,0.035219937211057824,0.04634202264612871,0.033752439827263746,0.0,0.06339588697990407,0.0,0.03169794348995204,0.05079798636210263,0.017609968605528912,0.020853910190757923,0.0,0.035219937211057824,0.07684349936958071,0.09245233517902679,0.07043987442211565,0.0,0.04108992674623413,0.04226392465326939,0.027563429121697427,0.02914753424363406,0.0,0.0,0.021131962326634696,0.06652654806533145,0.0,0.0,0.017609968605528912,0.05282990581658673,0.06809187860804514
ADVANCED READING AND WRITING,0.02810492505353319,0.0,0.0,0.0,0.0,0.08993576017130621,0.08431477516059957,0.0,0.0,0.0,0.0,0.05620985010706638,0.07494646680942184,0.11241970021413276,0.0,0.0,0.0,0.11241970021413276,0.0,0.11241970021413276,0.0,0.0,0.03747323340471092,0.04817987152034261,0.0,0.0,0.11241970021413276,0.07494646680942184,0.0,0.0,0.0,0.05620985010706638,0.0
AĞ GÜVENLİĞİ,0.02538904183421666,0.030466850201059992,0.0,0.043524071715799986,0.07616712550264998,0.04570027530158999,0.07616712550264998,0.0,0.02538904183421666,0.0,0.0,0.05077808366843332,0.03808356275132499,0.028562672063493742,0.0,0.07616712550264998,0.0,0.0,0.0,0.06924284136604543,0.02538904183421666,0.03808356275132499,0.018135029881583328,0.03808356275132499,0.032643053786849986,0.0,0.0,0.042315069723694435,0.07616712550264998,0.0,0.029295048270249993,0.03808356275132499,0.07616712550264998
ALGORITHMS AND COMPLEXITY,0.03998702440804769,0.0347974105876484,0.02493814425448135,0.03039336331014915,0.03633843877081569,0.029925773105377626,0.03129492612327072,0.0,0.041056700906768086,0.0,0.027872043578537984,0.03713012589000557,0.029705730656073376,0.0203636917580972,0.0,0.04120215137696919,0.04364175244534237,0.06857989669982373,0.029925773105377626,0.06583670083183077,0.04433447867463352,0.026516507814891566,0.020403936208212015,0.029353031036375182,0.0,0.07481443276344406,0.02337951023857627,0.035949792366849746,0.0,0.0,0.019237996996314184,0.04427792959469138,0.04874273649739537
ASSEMBLY PROGRAMMING,0.08120349681182747,0.0,0.0,0.0,0.0,0.03944169845145906,0.03847970580630152,0.0,0.09860424612864765,0.0,0.1972084922572953,0.024651061532161914,0.0,0.01972084922572953,0.0,0.0,0.0,0.0,0.0,0.0,0.04930212306432383,0.0,0.0,0.07888339690291812,0.0,0.1972084922572953,0.04382410939051006,0.0,0.0,0.0,0.0,0.0,0.1314723281715302
ATATÜRK İLKE.VE İNK.TARİHİ I,0.024309495577966755,0.0,0.0,0.11668557877424045,0.0,0.06381242589216274,0.033659301569492435,0.0,0.03646424336695014,0.0,0.0,0.07779038584949362,0.07955834916425483,0.029171394693560112,0.0,0.0,0.0,0.0,0.0,0.14585697346780055,0.04861899115593351,0.14585697346780055,0.0,0.02804941797457703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09723798231186702,0.07292848673390027
ATATÜRK İLKE.VE İNK.TARİHİ II,0.041269775100569034,0.0,0.0,0.10317443775142257,0.0,0.07738082831356694,0.037142797590512124,0.0,0.025793609437855643,0.0,0.020634887550284517,0.046897471705192074,0.051587218875711285,0.0,0.0,0.0,0.0,0.0,0.0,0.10317443775142257,0.057319132084123654,0.10317443775142257,0.0,0.034391479250474186,0.0,0.0,0.06878295850094837,0.0,0.0,0.0,0.10317443775142257,0.057319132084123654,0.06878295850094837
BİÇİMSEL DİLLER VE OTOMATA,0.04289134348521979,0.03130201582633465,0.03472156377374935,0.031087911750915125,0.041815216587741164,0.03405061568150299,0.0325343786541431,0.0,0.04298860276749921,0.0,0.028465426156857584,0.04777924587669784,0.03844873728618573,0.016203396427749702,0.0,0.03130201582633465,0.04500943452152695,0.0774945046544551,0.0,0.06543679326591226,0.057110331671576815,0.027936890392671897,0.023828524158455443,0.030680987318816,0.0,0.0,0.05401132142583233,0.04579220729581437,0.0,0.0,0.019640480518484486,0.05015336989541574,0.04931468478010779
BİLGİSAYAR AĞLARI,0.038994450519575716,0.025067861048298674,0.0668476294621298,0.027525494484406388,0.0668476294621298,0.024308228895319927,0.05682048504281033,0.0,0.0594201150774487,0.0,0.04456508630808653,0.030852752059444523,0.022282543154043266,0.03523050741923057,0.0,0.044970223456341864,0.050711994764374324,0.055050988968812775,0.022282543154043266,0.06469125431819013,0.028648984055198484,0.0334238147310649,0.016260234193491034,0.03260859973762429,0.0,0.0668476294621298,0.009549661351732828,0.03625634140318904,0.0,0.0,0.009549661351732828,0.0,0.030385286119149906
BİLGİSAYAR AĞLARI LAB.,0.02543364045654209,0.04238940076090348,0.05086728091308418,0.03179205057067761,0.08477880152180696,0.04130249304908545,0.07893198762375131,0.0,0.05869301643817405,0.0,0.0,0.028259600507268987,0.028259600507268987,0.045461096468215334,0.0,0.05976210599078196,0.06016560107999204,0.06693063278037392,0.0,0.07948012642669403,0.06358410114135522,0.03468223698619376,0.020273191668258188,0.04478880080397349,0.0,0.0,0.0,0.04474436746984257,0.0,0.0,0.00941986683575633,0.0,0.0
