3628156599: [['SİSTEM PROGRAMLAMA', 0.056494988963924485], ['WEB BASED TECHNOLOGIES', 0.0338733979644409], ['MOBİL PROGRAMLAMA', 0.02997134526900938], ['COMPUTER SECURITY', 0.02939427529918982], ['IMAGE PROCESSING', 0.028682307790951107], ['AĞ GÜVENLİĞİ', 0.026668945089371315], ['NETWORK APPLICATIONS', 0.021381132737398056], ['ADVANCED PROGRAMMING', 0.015923278205334256]]
2145570006: [['SİSTEM PROGRAMLAMA', 0.06567136794085783], ['COMPUTER SECURITY', 0.03666232441256194], ['WEB BASED TECHNOLOGIES', 0.035934741890879154], ['MOBİL PROGRAMLAMA', 0.03173597974161744], ['IMAGE PROCESSING', 0.029022037885283087], ['AĞ GÜVENLİĞİ', 0.024941106506660912], ['NETWORK APPLICATIONS', 0.02158115627977489], ['ADVANCED PROGRAMMING', 0.015459357499031549]]
689502151: [['SİSTEM PROGRAMLAMA', 0.0351634537317686], ['WEB BASED TECHNOLOGIES', 0.030692914131340576], ['MOBİL PROGRAMLAMA', 0.025921742747018365], ['IMAGE PROCESSING', 0.023211695082947348], ['COMPUTER SECURITY', 0.022401487165635996], ['AĞ GÜVENLİĞİ', 0.020933616774506586], ['NETWORK APPLICATIONS', 0.018068191148376288], ['ADVANCED PROGRAMMING', 0.010762699889231092]]
834991379: [['SİSTEM PROGRAMLAMA', 0.053834545424430946], ['WEB BASED TECHNOLOGIES', 0.030695186810269528], ['MOBİL PROGRAMLAMA', 0.027627027154263403], ['COMPUTER SECURITY', 0.025610944329417438], ['IMAGE PROCESSING', 0.023688641156098863], ['AĞ GÜVENLİĞİ', 0.022076147175662853], ['NETWORK APPLICATIONS', 0.018355654723030107], ['ADVANCED PROGRAMMING', 0.012047447344885349]]
779454362: [['SİSTEM PROGRAMLAMA', 0.06567136794085783], ['COMPUTER SECURITY', 0.03666232441256194], ['WEB BASED TECHNOLOGIES', 0.035934741890879154], ['MOBİL PROGRAMLAMA', 0.03173597974161744], ['IMAGE PROCESSING', 0.029022037885283087], ['AĞ GÜVENLİĞİ', 0.024941106506660912], ['NETWORK APPLICATIONS', 0.02158115627977489], ['ADVANCED PROGRAMMING', 0.015459357499031549]]
2541541532: [['SİSTEM PROGRAMLAMA', 0.043778752436139476], ['MOBİL PROGRAMLAMA', 0.029066571092476626], ['WEB BASED TECHNOLOGIES', 0.028634787384147983], ['AĞ GÜVENLİĞİ', 0.027517027988589814], ['IMAGE PROCESSING', 0.02742420896239587], ['COMPUTER SECURITY', 0.026511236232211258], ['NETWORK APPLICATIONS', 0.0209199577456163], ['ADVANCED PROGRAMMING', 0.012998522775044053]]
672541711: [['SİSTEM PROGRAMLAMA', 0.04799382041208143], ['COMPUTER SECURITY', 0.03836041795086834], ['WEB BASED TECHNOLOGIES', 0.03344451509475011], ['MOBİL PROGRAMLAMA', 0.030944717477936104], ['IMAGE PROCESSING', 0.027603829240935726], ['AĞ GÜVENLİĞİ', 0.02391754584080344], ['NETWORK APPLICATIONS', 0.020794207660572446], ['ADVANCED PROGRAMMING', 0.014936160637389763]]
3845768798: [['WEB BASED TECHNOLOGIES', 0.03622416322090985], ['SİSTEM PROGRAMLAMA', 0.03227084334539866], ['MOBİL PROGRAMLAMA', 0.03196702818868332], ['COMPUTER SECURITY', 0.028913723780905603], ['IMAGE PROCESSING', 0.028855400817318057], ['AĞ GÜVENLİĞİ', 0.024100493425578018], ['NETWORK APPLICATIONS', 0.02114635280237487], ['ADVANCED PROGRAMMING', 0.01576198710208148]]
3293348182: [['MOBİL PROGRAMLAMA', 0.0321044810138076], ['IMAGE PROCESSING', 0.02838076427517853], ['WEB BASED TECHNOLOGIES', 0.027506905436828967], ['SİSTEM PROGRAMLAMA', 0.025825253950844118], ['COMPUTER SECURITY', 0.020178671811428683], ['AĞ GÜVENLİĞİ', 0.0200754424167549], ['NETWORK APPLICATIONS', 0.019508677690437865], ['ADVANCED PROGRAMMING', 0.014350104506980123]]
2076340176: [['SİSTEM PROGRAMLAMA', 0.04191953138167091], ['MOBİL PROGRAMLAMA', 0.026136944557704333], ['COMPUTER SECURITY', 0.022253536801290292], ['IMAGE PROCESSING', 0.019969134265607754], ['WEB BASED TECHNOLOGIES', 0.019577441274757044], ['NETWORK APPLICATIONS', 0.018044947148622252], ['AĞ GÜVENLİĞİ', 0.017599425749084352], ['ADVANCED PROGRAMMING', 0.009458474571153452]]
2759235170: [['MOBİL PROGRAMLAMA', 0.03193271548938379], ['IMAGE PROCESSING', 0.026858806358758796], ['WEB BASED TECHNOLOGIES', 0.026207184814097836], ['SİSTEM PROGRAMLAMA', 0.022077641488657096], ['NETWORK APPLICATIONS', 0.019411497536075375], ['AĞ GÜVENLİĞİ', 0.019055813242827985], ['COMPUTER SECURITY', 0.013084814239129371], ['ADVANCED PROGRAMMING', 0.012039693788455656]]
4147008568: [['SİSTEM PROGRAMLAMA', 0.057745774167890576], ['MOBİL PROGRAMLAMA', 0.02968048058734983], ['IMAGE PROCESSING', 0.028878122084214673], ['AĞ GÜVENLİĞİ', 0.02799016947641847], ['COMPUTER SECURITY', 0.024673744172659013], ['WEB BASED TECHNOLOGIES', 0.02393948481183646], ['NETWORK APPLICATIONS', 0.021164412784683173], ['ADVANCED PROGRAMMING', 0.011929734046142454]]
3709307019: [['SİSTEM PROGRAMLAMA', 0.05549843857648204], ['MOBİL PROGRAMLAMA', 0.030553079228939413], ['WEB BASED TECHNOLOGIES', 0.026893213035764394], ['AĞ GÜVENLİĞİ', 0.024880670776810325], ['COMPUTER SECURITY', 0.02378193752318205], ['NETWORK APPLICATIONS', 0.019922809558465922], ['IMAGE PROCESSING', 0.019578067468348524], ['ADVANCED PROGRAMMING', 0.0038200791900122283]]
3481648766: [['SİSTEM PROGRAMLAMA', 0.06597570643681132], ['COMPUTER SECURITY', 0.0366204124862737], ['WEB BASED TECHNOLOGIES', 0.036110566856365434], ['MOBİL PROGRAMLAMA', 0.031720793043374586], ['IMAGE PROCESSING', 0.025365016462418788], ['AĞ GÜVENLİĞİ', 0.02531086945404521], ['NETWORK APPLICATIONS', 0.021597226618526394], ['ADVANCED PROGRAMMING', 0.013664361842840908]]
1008562765: [['SİSTEM PROGRAMLAMA', 0.04820540954076355], ['IMAGE PROCESSING', 0.028992294780468577], ['WEB BASED TECHNOLOGIES', 0.022772419079805022], ['NETWORK APPLICATIONS', 0.01806404543225034], ['ADVANCED PROGRAMMING', 0.0], ['AĞ GÜVENLİĞİ', 0.0], ['COMPUTER SECURITY', 0.0], ['MOBİL PROGRAMLAMA', 0.0]]
417518315: [['SİSTEM PROGRAMLAMA', 0.06861130968854655], ['WEB BASED TECHNOLOGIES', 0.03707093145108717], ['COMPUTER SECURITY', 0.03407336066800531], ['MOBİL PROGRAMLAMA', 0.03233010493218406], ['IMAGE PROCESSING', 0.028831987264875437], ['AĞ GÜVENLİĞİ', 0.027535011840042617], ['NETWORK APPLICATIONS', 0.02223971143956989], ['ADVANCED PROGRAMMING', 0.015502931079804123]]
1537973: [['SİSTEM PROGRAMLAMA', 0.04849101993290001], ['WEB BASED TECHNOLOGIES', 0.03623907606460903], ['COMPUTER SECURITY', 0.03342622075310213], ['MOBİL PROGRAMLAMA', 0.03185013857137575], ['IMAGE PROCESSING', 0.028755676684764222], ['AĞ GÜVENLİĞİ', 0.025463396003347894], ['NETWORK APPLICATIONS', 0.021521709757915057], ['ADVANCED PROGRAMMING', 0.015410549510976814]]
1250669190: [['SİSTEM PROGRAMLAMA', 0.04957312737096738], ['MOBİL PROGRAMLAMA', 0.030489605479755395], ['COMPUTER SECURITY', 0.02562117524829059], ['IMAGE PROCESSING', 0.022694773143259996], ['NETWORK APPLICATIONS', 0.020059491528552104], ['AĞ GÜVENLİĞİ', 0.017957240220294064], ['WEB BASED TECHNOLOGIES', 0.013625442120908294], ['ADVANCED PROGRAMMING', 0.008908342344173006]]
1038122618: [['SİSTEM PROGRAMLAMA', 0.06454157425438092], ['MOBİL PROGRAMLAMA', 0.03129433603992484], ['COMPUTER SECURITY', 0.030605316183716536], ['WEB BASED TECHNOLOGIES', 0.027945270462659], ['IMAGE PROCESSING', 0.02345219435101884], ['AĞ GÜVENLİĞİ', 0.021398943472047717], ['NETWORK APPLICATIONS', 0.019945904419511263], ['ADVANCED PROGRAMMING', 0.008801777543517245]]
3287970537: [['SİSTEM PROGRAMLAMA', 0.046396519303335326], ['WEB BASED TECHNOLOGIES', 0.032956845194341264], ['MOBİL PROGRAMLAMA', 0.03199599361575493], ['COMPUTER SECURITY', 0.02968681976794395], ['IMAGE PROCESSING', 0.02833475958477355], ['AĞ GÜVENLİĞİ', 0.02355119877930776], ['NETWORK APPLICATIONS', 0.021040663176623585], ['ADVANCED PROGRAMMING', 0.015031594922430998]]
3516404393: [['SİSTEM PROGRAMLAMA', 0.04327162897243311], ['MOBİL PROGRAMLAMA', 0.03162340384307193], ['WEB BASED TECHNOLOGIES', 0.028664528989185454], ['COMPUTER SECURITY', 0.028548246939694304], ['IMAGE PROCESSING', 0.02178251546659226], ['AĞ GÜVENLİĞİ', 0.021276553395130324], ['NETWORK APPLICATIONS', 0.02066061162825718], ['ADVANCED PROGRAMMING', 0.011466606366724733]]
