
p:3.5  t:0: 1958583397: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152118514 AĞ GÜVENLİĞİ', -0.00025287305505271464], ['152117111 MOBİL PROGRAMLAMA', -0.00029400638017852075], ['152118035 NETWORK APPLICATIONS UE', -0.0006004701718205005]]
p:3.0  t:0: 1958583397: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002846217666140909], ['152118513 SİSTEM PROGRAMLAMA', -0.0004524056486420096], ['152118514 AĞ GÜVENLİĞİ', -0.0008496606667768398], ['152118035 NETWORK APPLICATIONS UE', -0.001883931938043858], ['152117111 MOBİL PROGRAMLAMA', -0.0019150030507840497]]
p:3.5  t:1: 1958583397: [['152118035 NETWORK APPLICATIONS UE', 0.005126568222901028], ['152117111 MOBİL PROGRAMLAMA', 0.0036825364623088237], ['152118514 AĞ GÜVENLİĞİ', 0.002500429324133786], ['152118513 SİSTEM PROGRAMLAMA', 0.0009211814463679947], ['152117115 ADVANCED PROGRAMMING', 0.0005645187080638678], ['152118634 COMPUTER SECURITY', 0.00046837398760806375], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
p:3.0  t:1: 1958583397: [['152118035 NETWORK APPLICATIONS UE', 0.005685327044257872], ['152118514 AĞ GÜVENLİĞİ', 0.004020268381902429], ['152117111 MOBİL PROGRAMLAMA', 0.003403799735571146], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]

p:3.5  t:0: 3260847501: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152117115 ADVANCED PROGRAMMING', -0.0002449756765591208], ['152118514 AĞ GÜVENLİĞİ', -0.0006342807608266566], ['152117111 MOBİL PROGRAMLAMA', -0.0007698312073418602], ['152118035 NETWORK APPLICATIONS UE', -0.0008829295139938125]]
p:3.0  t:0: 3260847501: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00022585488368040535], ['152118513 SİSTEM PROGRAMLAMA', -0.00034121466098309996], ['152118514 AĞ GÜVENLİĞİ', -0.0008712671391846158], ['152118035 NETWORK APPLICATIONS UE', -0.001468848321582078], ['152117111 MOBİL PROGRAMLAMA', -0.0017872908100950305]]
p:3.5  t:1: 3260847501: [['152117111 MOBİL PROGRAMLAMA', 0.00404049687666607], ['152118035 NETWORK APPLICATIONS UE', 0.0035265933938469027], ['152118514 AĞ GÜVENLİĞİ', 0.0023216222256522688], ['152118635 WEB BASED TECHNOLOGIES', 0.001056365217981804], ['152118513 SİSTEM PROGRAMLAMA', 0.0006846442485082411], ['152118634 COMPUTER SECURITY', 0.000663606857957039], ['152117115 ADVANCED PROGRAMMING', 0.00047328521644691155]]
p:3.0  t:1: 3260847501: [['152118035 NETWORK APPLICATIONS UE', 0.004863552828354565], ['152117111 MOBİL PROGRAMLAMA', 0.004222172623862164], ['152118514 AĞ GÜVENLİĞİ', 0.004157195680673627], ['152118635 WEB BASED TECHNOLOGIES', 0.0014843464466656187], ['152117115 ADVANCED PROGRAMMING', 0.00075839068909619], ['152118513 SİSTEM PROGRAMLAMA', 0.0005111085823607149], ['152118634 COMPUTER SECURITY', 0.0]]

p:3.5  t:0: 1644926596: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0006946585515543038], ['152118513 SİSTEM PROGRAMLAMA', -0.0011193239631761061], ['152118514 AĞ GÜVENLİĞİ', -0.0014934965143279953], ['152118035 NETWORK APPLICATIONS UE', -0.001732124332369925], ['152117111 MOBİL PROGRAMLAMA', -0.0021830064492003726]]
p:3.0  t:0: 1644926596: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00047598008226881836], ['152118513 SİSTEM PROGRAMLAMA', -0.000964915979169167], ['152118514 AĞ GÜVENLİĞİ', -0.0009738429993773175], ['152118035 NETWORK APPLICATIONS UE', -0.0016897482539562924], ['152117111 MOBİL PROGRAMLAMA', -0.0023283890298946086]]
p:3.5  t:1: 1644926596: [['152117111 MOBİL PROGRAMLAMA', 0.005276342673594037], ['152118635 WEB BASED TECHNOLOGIES', 0.004516389422558568], ['152118035 NETWORK APPLICATIONS UE', 0.0034699961770231842], ['152118514 AĞ GÜVENLİĞİ', 0.002175315306467246], ['152118634 COMPUTER SECURITY', 0.0019643083348841683], ['152118513 SİSTEM PROGRAMLAMA', 0.0017657381188343573], ['152117115 ADVANCED PROGRAMMING', 0.0008879212359230524]]
p:3.0  t:1: 1644926596: [['152117111 MOBİL PROGRAMLAMA', 0.007560961864833473], ['152118635 WEB BASED TECHNOLOGIES', 0.007086435214190166], ['152118634 COMPUTER SECURITY', 0.005172357897452206], ['152118514 AĞ GÜVENLİĞİ', 0.0046426605625859855], ['152118035 NETWORK APPLICATIONS UE', 0.004503789713322449], ['152118513 SİSTEM PROGRAMLAMA', 0.0023647292482553463], ['152117115 ADVANCED PROGRAMMING', 0.0018473701623625172]]

p:3.5  t:0: 1080755853: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -8.878476140907237e-07], ['152118513 SİSTEM PROGRAMLAMA', -0.0003327424307766082], ['152118514 AĞ GÜVENLİĞİ', -0.0004242797986156337], ['152117111 MOBİL PROGRAMLAMA', -0.0007383380773224277], ['152118035 NETWORK APPLICATIONS UE', -0.0007828759428651135]]
p:3.0  t:0: 1080755853: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00023107255792493805], ['152118513 SİSTEM PROGRAMLAMA', -0.00047648907937088175], ['152118514 AĞ GÜVENLİĞİ', -0.0007860535107739826], ['152118035 NETWORK APPLICATIONS UE', -0.0017664565690275612], ['152117111 MOBİL PROGRAMLAMA', -0.0020792550964831664]]
p:3.5  t:1: 1080755853: [['152118035 NETWORK APPLICATIONS UE', 0.004839859602730549], ['152117111 MOBİL PROGRAMLAMA', 0.003861215184645573], ['152118514 AĞ GÜVENLİĞİ', 0.0022989589976239425], ['152118513 SİSTEM PROGRAMLAMA', 0.0009403817040085157], ['152118635 WEB BASED TECHNOLOGIES', 0.0006683340128429846], ['152117115 ADVANCED PROGRAMMING', 0.0004249323088678602], ['152118634 COMPUTER SECURITY', 0.00031224932507204254]]
