1958583397: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002846217666140909], ['152118513 SİSTEM PROGRAMLAMA', -0.0004524056486420096], ['152118514 AĞ GÜVENLİĞİ', -0.0008496606667768398], ['152118035 NETWORK APPLICATIONS UE', -0.001883931938043858], ['152117111 MOBİL PROGRAMLAMA', -0.0019150030507840497]]
3260847501: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00022585488368040535], ['152118513 SİSTEM PROGRAMLAMA', -0.00034121466098309996], ['152118514 AĞ GÜVENLİĞİ', -0.0008712671391846158], ['152118035 NETWORK APPLICATIONS UE', -0.001468848321582078], ['152117111 MOBİL PROGRAMLAMA', -0.0017872908100950305]]
1644926596: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00047598008226881836], ['152118513 SİSTEM PROGRAMLAMA', -0.000964915979169167], ['152118514 AĞ GÜVENLİĞİ', -0.0009738429993773175], ['152118035 NETWORK APPLICATIONS UE', -0.0016897482539562924], ['152117111 MOBİL PROGRAMLAMA', -0.0023283890298946086]]
1080755853: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00023107255792493805], ['152118513 SİSTEM PROGRAMLAMA', -0.00047648907937088175], ['152118514 AĞ GÜVENLİĞİ', -0.0007860535107739826], ['152118035 NETWORK APPLICATIONS UE', -0.0017664565690275612], ['152117111 MOBİL PROGRAMLAMA', -0.0020792550964831664]]
1489354015: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002537642909600123], ['152118513 SİSTEM PROGRAMLAMA', -0.00045061624501125926], ['152118514 AĞ GÜVENLİĞİ', -0.0007147380403742442], ['152118035 NETWORK APPLICATIONS UE', -0.001709525146573811], ['152117111 MOBİL PROGRAMLAMA', -0.002359199557195673]]
1018607446: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002960318361142555], ['152118513 SİSTEM PROGRAMLAMA', -0.0006674674899144794], ['152118514 AĞ GÜVENLİĞİ', -0.0006936499558889272], ['152118035 NETWORK APPLICATIONS UE', -0.0013421616220330602], ['152117111 MOBİL PROGRAMLAMA', -0.0018619487454911408]]
2746867626: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000476062036168133], ['152118513 SİSTEM PROGRAMLAMA', -0.0006924336731514393], ['152118514 AĞ GÜVENLİĞİ', -0.0009223199711295178], ['152118035 NETWORK APPLICATIONS UE', -0.0017229075580936306], ['152117111 MOBİL PROGRAMLAMA', -0.0023486717251479535]]
123301703: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00034779621231775153], ['152118513 SİSTEM PROGRAMLAMA', -0.0006055372108335731], ['152118514 AĞ GÜVENLİĞİ', -0.000823965810429439], ['152118035 NETWORK APPLICATIONS UE', -0.0016972563036826824], ['152117111 MOBİL PROGRAMLAMA', -0.002321066365414185]]
3965835222: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0007169093543963287], ['152118514 AĞ GÜVENLİĞİ', -0.001129248165331252], ['152118513 SİSTEM PROGRAMLAMA', -0.001414165886003473], ['152118035 NETWORK APPLICATIONS UE', -0.0017878790916211742], ['152117111 MOBİL PROGRAMLAMA', -0.0023010768596393714]]
62989449: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0001075741807830201], ['152118513 SİSTEM PROGRAMLAMA', -0.00040366884957598816], ['152118514 AĞ GÜVENLİĞİ', -0.0007206828799715877], ['152118035 NETWORK APPLICATIONS UE', -0.001133000158461981], ['152117111 MOBİL PROGRAMLAMA', -0.0015220465836527331]]
3628156599: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005029300402925165], ['152118514 AĞ GÜVENLİĞİ', -0.0010544654219625097], ['152118513 SİSTEM PROGRAMLAMA', -0.001114414665698225], ['152118035 NETWORK APPLICATIONS UE', -0.0014482480835772368], ['152117111 MOBİL PROGRAMLAMA', -0.0017822361277075236]]
