1958583397: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152118514 AĞ GÜVENLİĞİ', -0.00025287305505271464], ['152117111 MOBİL PROGRAMLAMA', -0.00029400638017852075], ['152118035 NETWORK APPLICATIONS UE', -0.0006004701718205005]]
3260847501: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152117115 ADVANCED PROGRAMMING', -0.0002449756765591208], ['152118514 AĞ GÜVENLİĞİ', -0.0006342807608266566], ['152117111 MOBİL PROGRAMLAMA', -0.0007698312073418602], ['152118035 NETWORK APPLICATIONS UE', -0.0008829295139938125]]
1644926596: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0006946585515543038], ['152118513 SİSTEM PROGRAMLAMA', -0.0011193239631761061], ['152118514 AĞ GÜVENLİĞİ', -0.0014934965143279953], ['152118035 NETWORK APPLICATIONS UE', -0.001732124332369925], ['152117111 MOBİL PROGRAMLAMA', -0.0021830064492003726]]
1080755853: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -8.878476140907237e-07], ['152118513 SİSTEM PROGRAMLAMA', -0.0003327424307766082], ['152118514 AĞ GÜVENLİĞİ', -0.0004242797986156337], ['152117111 MOBİL PROGRAMLAMA', -0.0007383380773224277], ['152118035 NETWORK APPLICATIONS UE', -0.0007828759428651135]]
1489354015: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.5981257053633026e-06], ['152118514 AĞ GÜVENLİĞİ', -0.0003958933956280672], ['152118035 NETWORK APPLICATIONS UE', -0.0006522766656568495], ['152117111 MOBİL PROGRAMLAMA', -0.0009183045135827596]]
1018607446: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000404101472590262], ['152118513 SİSTEM PROGRAMLAMA', -0.0007690827838095777], ['152118514 AĞ GÜVENLİĞİ', -0.0010147409033085938], ['152118035 NETWORK APPLICATIONS UE', -0.0013178097265391475], ['152117111 MOBİL PROGRAMLAMA', -0.0016446187406598312]]
2746867626: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004306069689566134], ['152118513 SİSTEM PROGRAMLAMA', -0.0004965220254665821], ['152118514 AĞ GÜVENLİĞİ', -0.0010157185475505308], ['152118035 NETWORK APPLICATIONS UE', -0.0012957886543409985], ['152117111 MOBİL PROGRAMLAMA', -0.0016073104884786595]]
123301703: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.3317714211360855e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152118514 AĞ GÜVENLİĞİ', -0.0004415455021972813], ['152117111 MOBİL PROGRAMLAMA', -0.0007652537613189663], ['152118035 NETWORK APPLICATIONS UE', -0.0008321802861734798]]
3965835222: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0007415026595584685], ['152118513 SİSTEM PROGRAMLAMA', -0.0013328579139117126], ['152118514 AĞ GÜVENLİĞİ', -0.0014081634944112815], ['152118035 NETWORK APPLICATIONS UE', -0.001592864929879106], ['152117111 MOBİL PROGRAMLAMA', -0.0019083681028512934]]
62989449: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00010187529121509876], ['152118513 SİSTEM PROGRAMLAMA', -0.00017898533917497936], ['152118035 NETWORK APPLICATIONS UE', -0.0006036452384838058], ['152118514 AĞ GÜVENLİĞİ', -0.0008587747672832716], ['152117111 MOBİL PROGRAMLAMA', -0.0011160345126221567]]
3628156599: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000309967732211082], ['152118514 AĞ GÜVENLİĞİ', -0.0007215076843170475], ['152118513 SİSTEM PROGRAMLAMA', -0.0007571626474179605], ['152118035 NETWORK APPLICATIONS UE', -0.0007892814053677081], ['152117111 MOBİL PROGRAMLAMA', -0.0009850162212402948]]
1938646605: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0001238484751634818], ['152118514 AĞ GÜVENLİĞİ', -0.0007487901427842581], ['152118035 NETWORK APPLICATIONS UE', -0.0009961723991344872], ['152117111 MOBİL PROGRAMLAMA', -0.0014052237134521011]]
3999567632: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
2484291189: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005507221516978774], ['152118513 SİSTEM PROGRAMLAMA', -0.0009791038579978876], ['152118514 AĞ GÜVENLİĞİ', -0.0010198619773512249], ['152118035 NETWORK APPLICATIONS UE', -0.001251897283212271], ['152117111 MOBİL PROGRAMLAMA', -0.0013972090851608432]]
3286966388: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -7.990628526816513e-07], ['152118513 SİSTEM PROGRAMLAMA', -0.0001310653987391848], ['152118514 AĞ GÜVENLİĞİ', -0.0003496705308456624], ['152117111 MOBİL PROGRAMLAMA', -0.0006355560848984922], ['152118035 NETWORK APPLICATIONS UE', -0.0006864204359207251]]
362191843: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00020997915133638928], ['152118514 AĞ GÜVENLİĞİ', -0.0006592804913092553], ['152118035 NETWORK APPLICATIONS UE', -0.0008621032771677615], ['152117111 MOBİL PROGRAMLAMA', -0.0011503998372947653]]
3354414520: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000293970811870945], ['152118514 AĞ GÜVENLİĞİ', -0.0006271757059833176], ['152118035 NETWORK APPLICATIONS UE', -0.0007131757390412488], ['152117111 MOBİL PROGRAMLAMA', -0.0009237974488102322]]
2613483297: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002463074479802569], ['152118514 AĞ GÜVENLİĞİ', -0.000852557584676154], ['152118035 NETWORK APPLICATIONS UE', -0.0011378770039150818], ['152117111 MOBİL PROGRAMLAMA', -0.0015350849686608266]]
550782083: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0002744738320333455], ['152117115 ADVANCED PROGRAMMING', -0.00032175762605900476], ['152118514 AĞ GÜVENLİĞİ', -0.0008711242619399865], ['152118035 NETWORK APPLICATIONS UE', -0.001138329574431939], ['152117111 MOBİL PROGRAMLAMA', -0.0013801281316749014]]
2952305678: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.1415183609737875e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152118514 AĞ GÜVENLİĞİ', -0.0003514190548532342], ['152117111 MOBİL PROGRAMLAMA', -0.0005846389257056943], ['152118035 NETWORK APPLICATIONS UE', -0.0007420662116880771]]
3494349660: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003732113025613241], ['152118513 SİSTEM PROGRAMLAMA', -0.0004968701509308164], ['152118514 AĞ GÜVENLİĞİ', -0.001149604206131859], ['152118035 NETWORK APPLICATIONS UE', -0.001488147463825166], ['152117111 MOBİL PROGRAMLAMA', -0.0020081243057536433]]
2145570006: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0006925514554538433], ['152118513 SİSTEM PROGRAMLAMA', -0.001413865240062352], ['152118514 AĞ GÜVENLİĞİ', -0.001459028008834612], ['152118035 NETWORK APPLICATIONS UE', -0.0016740457956851565], ['152117111 MOBİL PROGRAMLAMA', -0.002028710328520218]]
